Call;QRG;Input;Locator;Info;Breite;Länge;CTCSS;Mode/Node;Entfernung zu JN49hf
DM0AI;438,61250;431,01250;JN48KQ;Aidlingen;48°41'N;08°53'E;;;62.28km
DB0OHR;439,0375;431,4375;JN49SE;Öhringen;49°11'N;09°30'E;88,5Hz;;63.81km
DB0RBB;439,3875;431,7875;JN48MQ;Boeblingen, gek. mit DB0HZG;48°41'N;09°00'E;;;66.30km
DB0ST;145,750;145,15;JN48NR;STUTTGART;48°44'N;09°09'E;;;66.47km
DB0ST;438,700;431,1;JN48NR;STUTTGART;48°44'N;09°09'E;;;66.47km
DB0ND;438,725;431,125;JN39XP;DONNERSBERG;49°37'N;07°56'E;;;66.54km
DB0KL;439,3875;431,7875;JN39VK;Kaiserslautern;49°25'N;07°45'E;;;66.63km
DB0OHR;439,03750;431,43750;JN49SE;Oehringen;49°11'N;09°32'E;88,5Hz;W-x#C4;66.71km
DB0KLN;439,11250;431,51250;JN39VK;Kaiserslautern;49°27'N;07°45'E;;;67.10km
DB0TST;430,375;430,375;JN48NQ;Musberg, Tetra (GSSI:1, MCC901, MNC:16383);48°41'N;09°07'E;;;69.26km
DB0KL;439,38750;431,78750;JN39UK;Kaiserslautern;49°26'N;07°42'E;;W-x#C4;70.30km
DB0BAC;439,975;430,57500;JN49SA;Grosserlach / Hohenbrach;49°01'N;09°32'E;;W-x#C4;70.57km
DB0BAC;439,975;430,57500;JN49SA;Grosserlach / Hohenbrach;49°01'N;09°32'E;;;70.57km
DB0LBG;438,5625;430,9625;JN48PS;Esslingen (gek. mit DB0LBX/DB0LBY);48°46'N;09°17'E;;;70.65km
DB0FDA;438,5875;430,9875;JN49HU;FH Darmstadt;49°51'N;08°38'E;;;70.83km
DB0RMK;438,9875;431,3875;JN48RV;Winnenden;48°53'N;09°27'E;;;71.10km
DB0BAC;145,6875;145,08750;JN49SA;Grosserlach , Hohe Brach;49°02'N;09°33'E;;W-x#C4;71.33km
DB0BAC;145,68750;145,08750;JN49SA;Grosserlach , Hohe Brach;49°02'N;09°33'E;;;71.33km
DB0ZDF;439,300;431,700;JN49EU;Trutzturm, Oppenheim;49°51'N;08°20'E;67,0Hz;;72.32km
DB0LD;145,7375;145,1375;JN49TH;KUENZELSAU;49°18'N;09°37'E;;;73.09km
DB0LD;439,350;431,750;JN49TH;KUENZELSAU;49°18'N;09°37'E;;;73.09km
DB0HER;438,975;431,375;JN48JN;Jettingen bei Herrenberg;48°34'N;08°45'E;;;73.13km
DB0HZG;438,6375;431,0375;JN48MP;Holzgerlingen gek. mit DB0RBB;48°37'N;09°01'E;;;73.14km
DB0BO;438,775;431,175;JN48PR;OSTFILDERN/Nellingen;48°43'N;09°15'E;;;73.20km
DB0EP;439,4125;431,8125;JN39TE;Pirmasens;49°10'N;07°36'E;77,0Hz;;73.66km
DB0VP;145,650;145,05000;JN39TE;Pirmasens;49°10'N;07°36'E;77,0Hz;W-x#C4;73.67km
DB0VP;145,650;145,05;JN39TE;PIRMASENS;49°10'N;07°36'E;77,0Hz;;73.67km
DB0WAB;439,0625;431,4625;JN49TE;Waldenburg;49°11'N;09°38'E;;;74.01km
